"Field", "Name", "Required", "Datatype", "Is array", "Description"
"proveedores.nombre","nombre","Yes","string","No",""
"proveedores.direccion","direccion","Yes","document","No",""
"proveedores.direccion.calle","calle","Yes","string","No",""
"proveedores.direccion.numero","numero","Yes","string","No",""
"proveedores.direccion.piso","piso","No","string","No",""
"proveedores.direccion.puerta","puerta","No","string","No",""
"proveedores.direccion.ciudad","ciudad","Yes","string","No",""
"proveedores.direccion.codigo_postal","codigo_postal","Yes","string","No",""
"proveedores.direccion.pais","pais","Yes","string","No",""
"proveedores.telefono","telefono","Yes","int","No",""
"proveedores.fax","fax","Yes","int","No",""
"proveedores.nif","nif","Yes","string","No",""
"gafas.marca","marca","Yes","string","No",""
"gafas.graduacion_vidrio_izquierdo","graduacion_vidrio_izquierdo","Yes","decimal","No",""
"gafas.graduacion_vidrio_derecho","graduacion_vidrio_derecho","Yes","decimal","No",""
"gafas.montura","montura","Yes","enum: ["flotante", "pasta", "metalica"]","No",""
"gafas.color_montura","color_montura","Yes","string","No",""
"gafas.color_vidrio_izquierdo","color_vidrio_izquierdo","Yes","string","No",""
"gafas.color_vidrio_derecho","color_vidrio_derecho","Yes","string","No",""
"gafas.precio","precio","Yes","double","No",""
"gafas.proveedor","proveedor","Yes","document","No",""
"gafas.proveedor.id_proveedor","id_proveedor","No","int","No",""
"gafas.proveedor.nombre","nombre","No","string","No",""
"gafas.clientes","clientes","Yes","document","Yes",""
"gafas.clientes.id_cliente","id_cliente","No","int","No",""
"gafas.clientes.nombre","nombre","No","int","No",""
"clientes.nombre","nombre","Yes","string","No",""
"clientes.direccion","direccion","Yes","string","No",""
"clientes.telefono","telefono","Yes","string","No",""
"clientes.email","email","Yes","string","No",""
"clientes.fecha_alta","fecha_alta","Yes","date","No",""
"clientes.cliente_que_recomendo","cliente_que_recomendo","No","string","No",""
"clientes.gafas","gafas","No","document","Yes",""
"clientes.gafas.graduacion_vidrio_izquierdo","graduacion_vidrio_izquierdo","Yes","decimal","No",""
"clientes.gafas.graduacion_vidrio_derecho","graduacion_vidrio_derecho","Yes","decimal","No",""
"clientes.gafas.color_vidrio_izquierdo","color_vidrio_izquierdo","Yes","string","No",""
"clientes.gafas.color_vidrio_derecho","color_vidrio_derecho","Yes","string","No",""
"clientes.gafas.montura","montura","Yes","enum: ["flotante", "pasta", "metalica"]","No",""
"clientes.gafas.precio","precio","Yes","int","No",""
"ventas.empleado","empleado","Yes","string","No",""
"ventas.fecha_hora","fecha_hora","Yes","timestamp","No",""
"ventas.cliente","cliente","Yes","document","No",""
"ventas.cliente.id_cliente","id_cliente","Yes","int","No",""
"ventas.cliente.nombre","nombre","Yes","string","No",""
"ventas.gafas","gafas","Yes","document","Yes",""
"ventas.gafas.id_gafas","id_gafas","Yes","objectId","No",""
